time,11-Resp1,11-Resp2,11-Resp3,11-Resp4,11-Resp5,11-Resp6,11-Resp7,11-Resp8,11-Resp9,11-Resp10,11-Resp11,11-Resp12,11-Resp13,11-Resp14,11-Resp15,11-Resp16,11-Resp17,11-Resp18,11-Resp19,11-Resp20,11-Resp21,11-Resp22,11-Resp23,11-Resp25,11-Resp26,11-Resp27,11-Resp28,11-Resp29,11-Resp30
1,54,100,56,44,-1,48,53,-1,100,100,64,48,-1,-1,50,78,50,58,50,28,-1,47,50,-1,52,50,-1,59,62
2,54,100,56,44,100,48,53,29,100,100,64,48,55,-1,50,78,50,58,50,28,-1,47,51,50,52,50,79,65,62
3,54,100,56,44,100,48,53,61,100,100,64,48,55,-1,50,78,50,58,50,28,42,47,51,50,52,50,79,66,62
4,54,100,56,44,100,48,53,61,100,100,64,48,55,-1,50,78,50,58,50,28,42,7,51,50,52,50,79,66,62
5,54,100,56,44,100,48,53,61,100,100,64,48,55,-1,50,78,50,58,50,28,42,47,51,50,52,50,79,66,62
6,54,100,56,44,100,48,53,61,100,100,64,48,55,-1,50,78,50,58,50,28,42,47,51,50,52,50,79,66,62
7,54,100,56,44,100,48,53,61,100,100,64,48,55,-1,50,78,50,58,50,28,42,47,51,50,52,50,79,66,62
8,54,100,56,44,4,48,53,61,100,100,64,48,55,-1,50,78,50,58,50,28,42,47,51,50,52,50,79,66,62
9,54,100,56,44,100,48,53,61,100,100,64,48,55,-1,50,78,50,58,50,28,42,47,51,50,52,50,79,66,62
10,54,100,56,44,100,48,53,-1,100,100,64,48,55,58,50,78,50,58,50,28,-1,47,51,50,52,50,79,66,62
11,54,100,56,44,100,48,53,61,100,100,64,48,55,58,50,78,50,58,50,28,-1,47,51,50,52,50,79,66,62
12,54,100,56,44,100,48,53,61,100,100,64,48,55,58,50,78,50,58,50,28,-1,47,51,50,52,50,15,66,62
13,54,100,56,44,100,48,53,61,100,100,64,48,55,58,50,78,50,58,50,28,-1,47,51,50,52,50,15,66,62
14,54,100,56,44,100,48,53,61,100,100,64,48,55,58,50,78,50,58,50,28,-1,47,51,50,52,50,79,66,62
15,54,100,56,44,100,48,53,61,100,100,64,48,55,10,50,78,50,58,50,28,-1,47,51,50,52,50,79,66,62
16,54,100,56,44,100,-1,53,61,100,100,64,48,55,10,50,78,50,58,50,28,-1,47,51,50,52,50,79,66,62
17,54,100,56,44,100,-1,53,61,100,100,64,48,55,58,50,78,50,58,50,28,-1,47,51,50,52,50,79,66,62
18,54,100,56,44,100,-1,53,61,100,100,64,48,55,58,50,78,50,58,50,28,-1,47,51,50,52,50,79,66,62
19,54,100,56,44,100,-1,53,61,100,100,64,48,55,58,50,78,50,58,50,28,-1,47,51,50,52,50,79,66,62
20,54,100,56,44,100,-1,53,61,100,100,64,48,55,58,50,78,50,58,50,27,-1,47,51,50,52,50,79,66,62
21,54,100,56,44,4,-1,53,61,100,100,64,48,55,58,50,78,50,58,50,0,-1,47,51,50,52,50,79,66,62
22,54,100,56,44,4,-1,53,61,100,100,64,48,55,58,50,78,50,58,50,19,-1,47,51,50,52,50,79,66,62
23,54,100,56,44,100,0,53,61,100,100,64,48,55,58,50,78,50,58,50,20,-1,47,51,50,52,50,79,66,62
24,54,100,56,44,100,0,53,61,100,100,64,48,55,58,50,78,50,58,50,20,-1,47,51,50,52,50,79,66,62
25,54,100,56,44,100,0,53,61,100,100,64,48,55,58,50,78,50,58,50,20,-1,47,51,50,52,50,79,66,62
26,54,100,56,44,100,0,53,61,100,100,64,48,55,58,50,78,50,58,50,20,-1,47,51,50,52,50,79,66,62
27,54,100,56,44,100,0,53,61,100,100,64,48,55,58,50,78,50,58,50,20,-1,47,51,50,52,50,79,66,62
28,54,100,56,44,100,0,53,61,100,100,64,48,55,58,50,78,50,58,50,20,-1,47,51,50,52,50,79,66,62
29,54,100,56,44,100,0,53,61,100,100,64,48,55,58,50,78,50,58,50,20,-1,47,51,50,52,50,3,66,62
30,54,100,56,44,100,-1,53,61,100,100,64,48,55,58,50,78,50,58,50,20,-1,47,51,50,52,50,3,66,62
31,54,100,56,44,100,-1,53,61,100,100,64,48,55,58,50,78,50,58,50,20,-1,47,51,50,52,50,3,66,62
32,54,100,56,44,100,48,53,55,100,100,63,48,55,66,50,78,50,58,50,20,-1,47,51,50,52,50,79,66,58
33,54,100,56,44,100,48,53,55,100,100,63,48,55,58,50,78,50,58,50,20,-1,47,51,50,52,50,79,66,57
34,54,100,56,44,100,48,53,55,100,100,63,48,55,58,50,78,50,58,50,20,-1,47,51,52,52,50,79,66,57
35,54,100,56,44,100,0,53,55,100,100,63,48,55,58,50,78,50,58,50,20,-1,47,51,52,52,50,79,66,57
36,54,100,56,44,100,48,53,55,100,100,63,48,55,58,50,78,50,58,50,20,-1,47,51,52,52,50,79,66,57
37,54,100,56,44,100,48,53,55,100,100,63,48,55,63,50,78,50,58,50,20,-1,7,51,52,52,50,79,66,57
38,54,100,56,44,100,48,53,55,100,100,63,48,55,63,50,78,50,58,50,16,-1,47,51,52,52,50,79,66,57
39,54,100,56,44,100,0,53,55,100,100,63,48,55,63,50,78,50,58,50,16,-1,47,51,52,52,50,79,66,57
40,54,100,56,44,100,48,53,55,100,100,63,48,55,58,50,78,50,58,50,16,-1,31,51,52,52,50,79,66,57
41,54,100,56,44,100,48,53,55,100,100,63,48,55,58,50,78,50,58,50,16,-1,31,51,52,52,50,79,66,57
42,54,100,56,44,100,48,53,55,100,100,63,48,55,58,50,78,50,58,50,16,-1,31,51,52,52,50,32,66,57
43,54,100,56,44,100,48,53,55,100,100,63,48,55,58,50,78,50,58,50,16,-1,31,51,52,52,50,32,66,57
44,54,100,56,44,100,48,53,71,100,100,63,48,55,58,50,78,50,58,50,16,-1,31,51,52,52,50,32,66,57
45,54,100,56,44,100,48,53,65,100,100,63,48,55,58,50,78,50,58,50,16,-1,47,51,52,52,50,32,66,57
46,54,100,56,44,100,48,53,58,100,100,63,48,55,58,50,78,50,58,50,16,-1,47,51,52,52,50,79,66,57
47,54,100,56,44,100,48,53,58,100,100,63,48,-1,58,50,78,50,58,50,16,-1,47,51,52,52,50,79,66,54
48,54,100,54,44,100,48,53,58,100,97,63,48,-1,10,50,78,50,58,50,16,-1,47,51,52,52,50,79,66,52
49,54,100,54,44,100,48,53,58,100,100,63,48,55,58,50,78,50,58,50,16,-1,47,51,52,52,50,79,66,52
50,54,100,54,44,100,48,53,58,100,100,63,48,55,58,50,70,50,58,50,16,-1,47,51,52,52,50,79,66,52
51,54,100,54,44,100,48,53,58,100,100,64,48,55,58,50,69,50,58,50,16,-1,47,51,4,52,50,79,66,52
52,54,100,54,44,100,48,54,58,100,100,64,48,55,58,50,69,50,58,50,16,-1,47,51,4,52,50,79,71,46
53,54,100,54,44,100,48,54,58,100,100,64,48,55,58,50,69,50,58,50,16,-1,47,51,52,52,50,79,71,45
54,54,100,54,44,100,48,54,58,100,100,64,48,55,10,50,69,50,58,50,16,-1,47,51,52,52,50,79,73,46
55,54,100,54,44,100,48,54,58,100,100,64,48,55,10,50,69,50,58,50,16,-1,47,51,52,52,50,79,73,52
56,54,100,54,44,100,48,54,58,100,100,64,48,55,10,50,69,50,58,50,16,-1,47,51,52,52,50,79,73,51
57,54,100,54,44,100,48,54,58,100,100,64,48,55,58,50,69,50,58,50,16,-1,47,51,52,4,50,79,73,51
58,54,100,54,44,100,48,54,58,100,100,64,48,55,58,50,69,50,58,50,16,-1,47,51,52,52,46,79,73,51
59,54,100,54,44,100,48,53,58,100,100,64,48,55,58,50,69,50,58,50,16,-1,47,51,52,52,39,79,73,51
60,54,100,54,44,100,48,53,58,100,100,64,48,7,58,50,69,50,58,50,16,-1,47,51,52,52,39,79,73,51
61,54,100,54,44,100,48,53,58,100,100,64,48,55,24,50,69,50,58,50,16,-1,47,51,52,52,39,79,73,51
62,54,100,54,44,100,48,53,58,100,100,64,48,55,58,50,69,50,58,50,16,-1,47,51,52,52,39,79,73,51
63,54,100,64,44,100,48,53,58,100,100,64,48,53,58,50,69,50,58,50,16,-1,47,51,52,52,39,7,52,51
64,54,100,48,44,100,48,53,58,100,100,64,48,54,58,50,69,50,58,50,16,-1,47,51,52,52,39,79,48,51
65,54,100,50,44,100,48,53,58,100,100,64,48,54,58,50,69,50,58,50,16,-1,47,51,52,52,39,79,48,51
66,54,100,50,44,100,48,53,58,100,100,64,48,54,58,50,69,50,58,50,16,-1,47,51,52,52,39,79,48,51
67,54,100,50,44,100,48,53,58,100,100,64,48,54,58,50,69,50,56,50,16,-1,47,51,52,52,39,79,48,51
68,54,100,50,44,100,48,53,58,100,100,64,48,54,58,50,69,50,57,50,16,-1,47,51,52,52,39,79,48,51
69,54,100,50,44,100,48,53,58,100,100,64,48,54,58,50,69,50,57,50,16,36,47,51,52,52,39,79,48,51
70,54,100,50,44,100,48,53,58,100,100,64,48,54,58,50,69,50,57,50,16,36,47,51,52,52,39,79,48,51
71,54,100,50,44,100,48,53,58,100,100,64,48,54,58,50,60,50,57,50,55,36,47,51,52,49,39,79,48,51
72,54,100,50,44,100,48,53,58,100,100,54,48,54,58,50,52,50,57,50,49,36,47,51,52,51,39,79,48,51
73,54,100,50,44,100,48,53,58,46,100,52,48,54,58,50,52,50,57,50,50,36,47,51,52,50,39,61,48,51
74,54,100,50,44,100,48,53,46,44,100,52,48,54,58,50,52,50,57,50,50,36,47,51,52,50,39,63,48,51
75,54,100,50,44,57,48,53,50,44,75,52,48,54,58,50,50,50,57,50,50,36,47,51,52,50,39,78,48,50
76,54,100,50,44,48,-1,53,48,44,51,52,48,54,58,50,50,50,57,50,50,48,47,51,52,50,39,78,48,50
77,58,100,50,44,50,48,52,48,44,49,52,48,54,58,50,50,50,57,50,50,48,47,51,52,50,39,78,48,50
78,54,100,50,44,50,48,52,48,44,50,52,48,54,58,50,50,50,54,50,50,48,47,51,52,50,48,78,48,50
79,54,100,50,44,50,16,52,48,44,50,52,48,54,58,46,50,50,56,50,50,48,47,51,52,51,47,45,48,50
80,54,100,59,44,50,16,52,48,44,50,52,50,54,58,44,50,50,56,50,50,48,47,51,52,53,47,51,52,50
81,54,100,46,44,50,16,52,48,44,50,52,50,54,58,44,50,50,56,50,50,48,47,51,52,52,47,51,56,50
82,54,100,48,44,50,16,52,48,44,50,52,50,54,58,44,50,50,56,50,50,48,47,51,52,51,47,51,59,50
83,54,100,48,44,50,48,52,48,44,50,52,50,54,58,44,50,50,56,50,50,48,47,51,52,52,47,51,50,50
84,54,100,48,50,50,48,52,48,45,50,52,50,54,58,44,50,50,56,50,50,48,47,51,52,53,47,51,50,50
85,54,100,49,52,50,48,52,48,45,50,52,50,54,58,44,50,50,56,50,50,48,47,51,52,53,47,51,50,50
