time,10-Resp1,10-Resp2,10-Resp3,10-Resp4,10-Resp5,10-Resp6,10-Resp7,10-Resp8,10-Resp9,10-Resp10,10-Resp11,10-Resp12,10-Resp13,10-Resp14,10-Resp15,10-Resp16,10-Resp17,10-Resp18,10-Resp19,10-Resp20,10-Resp21,10-Resp22,10-Resp23,10-Resp25,10-Resp26,10-Resp27,10-Resp28,10-Resp29,10-Resp30
1,54,50,-1,47,-1,50,49,42,50,51,50,67,-1,50,32,53,4,50,-1,49,51,65,-1,44,65,47,50,53,46
2,54,50,-1,47,-1,50,49,42,50,16,50,67,-1,50,32,53,4,50,-1,49,51,65,-1,44,65,47,50,53,46
3,54,50,-1,47,-1,50,49,42,50,52,50,67,-1,50,32,52,4,50,-1,49,51,65,-1,44,65,47,50,53,46
4,54,50,-1,47,-1,50,49,42,50,52,50,67,-1,50,32,52,4,50,-1,49,51,65,-1,44,65,47,50,53,46
5,54,50,-1,47,75,50,49,42,50,52,50,84,-1,50,32,52,4,50,-1,49,51,65,-1,44,65,47,50,53,46
6,54,50,-1,47,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,-1,44,65,47,50,53,46
7,54,50,-1,47,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,-1,44,65,47,50,53,46
8,54,50,-1,47,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,-1,44,65,47,50,53,46
9,54,50,-1,47,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,-1,44,65,47,50,53,46
10,54,50,-1,47,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,-1,44,65,47,50,53,46
11,54,50,-1,47,75,50,49,42,50,52,50,49,-1,50,32,47,4,50,-1,49,51,65,-1,44,65,47,50,53,46
12,54,50,-1,47,75,50,49,42,50,52,50,49,-1,50,32,55,4,50,-1,49,51,65,-1,44,65,47,50,53,46
13,54,51,-1,47,75,50,49,42,50,52,50,49,60,50,32,55,4,50,-1,49,51,65,-1,44,65,47,38,53,46
14,54,51,-1,47,75,50,49,42,50,52,50,49,60,50,32,53,4,50,-1,49,51,65,50,44,65,47,38,53,46
15,54,51,-1,47,75,50,49,42,50,52,50,1,60,50,32,53,4,50,-1,49,51,65,50,44,65,47,50,29,46
16,54,51,-1,47,75,50,49,42,50,52,50,49,60,50,32,53,4,50,-1,49,51,65,50,44,65,47,50,39,46
17,54,51,-1,47,75,50,49,42,50,52,50,49,60,50,32,53,4,50,-1,49,51,65,50,44,65,47,50,39,46
18,54,50,58,47,75,50,49,42,50,52,50,49,60,50,32,52,4,50,-1,49,51,65,50,44,65,47,50,39,46
19,54,51,58,47,75,50,49,42,50,52,50,49,60,50,32,52,4,50,-1,49,51,65,50,44,65,47,50,53,46
20,54,51,58,49,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,50,44,65,47,50,53,56
21,54,51,58,49,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,50,44,65,47,50,53,49
22,54,51,58,49,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,50,44,65,47,50,53,49
23,54,51,58,49,75,50,50,42,50,52,50,17,-1,50,32,52,4,50,-1,49,51,65,50,44,65,47,50,53,49
24,54,51,58,1,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,50,44,65,47,50,53,49
25,54,51,-1,1,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,50,44,65,47,50,53,49
26,54,51,-1,1,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,50,44,65,47,50,53,49
27,54,51,-1,1,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,50,44,65,47,50,-1,49
28,54,50,-1,1,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,50,44,65,47,50,-1,49
29,54,50,-1,1,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,50,44,65,47,50,15,49
30,54,50,-1,1,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,50,44,65,47,50,15,49
31,54,50,-1,53,75,50,49,42,50,52,50,49,-1,50,32,52,4,50,-1,49,51,65,50,44,65,47,50,15,49
32,54,50,-1,53,75,50,49,42,50,52,50,49,60,50,32,52,4,50,-1,49,51,65,50,44,65,47,50,15,49
33,54,44,-1,53,75,50,49,42,50,52,50,49,60,50,32,52,4,50,99,49,51,65,50,44,65,47,50,15,49
34,54,44,-1,53,75,50,49,42,50,52,50,49,60,50,32,52,4,50,99,49,51,65,-1,44,65,47,51,15,49
35,54,44,-1,53,75,50,49,42,50,52,50,49,60,50,32,52,4,50,99,49,51,65,-1,44,65,47,51,53,49
36,54,44,-1,53,75,50,49,42,50,52,50,49,60,50,32,52,4,50,99,49,51,65,50,44,65,47,51,53,49
37,54,44,-1,57,88,50,50,42,50,52,50,70,60,50,32,52,4,50,98,49,51,65,50,44,65,47,51,53,100
